ID,ISBN13,ISBN10,Title,Author,Publisher,Year,Link,Image,Complete,Read
9788389011794,978-83-89011-79-4,83-89011-79-4,Smokobójca,Tomasz Pacynski,Fabryka Slów,2006,https://www.books-by-isbn.com/83-89011/8389011794-Smokobojca-Tomasz-Pacynski-83-89011-79-4.html,https://www.books-by-isbn.com/spix/eu-8389011794---Smokobojca---211i8s2ABdL.jpg,true,true
9788374801638,978-83-7480-163-8,83-7480-163-8,"Krew nie woda (Felix Castor, #4)",,Mag,,https://www.books-by-isbn.com/83-7480/8374801638-Krew-nie-woda-Felix-Castor-4-Carey-Mike-83-7480-163-8.html,https://www.books-by-isbn.com/spix/na-8374801638---Castor---51h9i6NZh8L.jpg,true,true
9788374802079,978-83-7480-207-9,83-7480-207-3,Nazwanie bestii Tom 5,Mike Carey,Mag,2011,https://www.books-by-isbn.com/83-7480/8374802073-Nazwanie-bestii-t-5-Carey-Mike-83-7480-207-3.html,https://www.books-by-isbn.com/spix/eu-8374802073---Nazwanie---51UI-aVontL.jpg,true,true
9788375744149,978-83-7574-414-9,83-7574-414-,Znaki kosci (polish),,Fabryka Slów,,https://www.books-by-isbn.com/83-7574/837574414X-Znaki-kosci-polish-Briggs-Patricia-83-7574-414-X.html,https://www.books-by-isbn.com/spix/na-837574414X---polish---511yfggPnCL.jpg,true,true
9788360505342,978-83-60505-34-2,83-60505-34-9,Krucjata. Tom 2,,Clearway Logistics Phase 1a,,https://www.books-by-isbn.com/83-60505/8360505349-Krucjata-Tom-2-83-60505-34-9.html,https://www.books-by-isbn.com/spix/na-8360505349---Krucjata---51%2B7hOyQqBL.jpg,true,true
9788360505410,978-83-60505-41-0,83-60505-41-1,Ksiega Jesiennych Demonw. Wydanie II,,Polish Books,,https://www.books-by-isbn.com/83-60505/8360505411-Ksiega-Jesiennych-Demonw.-Wydanie-II-Jaroslaw-Grzedowicz-83-60505-41-1.html,https://www.books-by-isbn.com/spix/na-8360505411---Jesiennych---21Gfb--L-aL.jpg,true,true
9788360505335,978-83-60505-33-5,83-60505-33-0,Krucjata Księga I,,,,https://www.books-by-isbn.com/83-60505/8360505330-Krucjata-Ksiega-I-83-60505-33-0.html,https://www.books-by-isbn.com/spix/na-8360505330---Krucjata---51wIfFbuquL.jpg,true,true
9788375741889,978-83-7574-188-9,83-7574-188-4,Homo bimbrownikus,Andrzej Pilipiuk,Fabryka Slow,2009,https://www.books-by-isbn.com/83-7574/8375741884-Homo-bimbrownikus-Andrzej-Pilipiuk-83-7574-188-4.html,https://www.books-by-isbn.com/spix/na-8375741884---bimbrownikus---31zc4tW4y3L.jpg,true,true
9788360505175,978-83-60505-17-5,83-60505-17-9,Lowcy dusz,Jacek Piekara,Fabryka Slów,,https://www.books-by-isbn.com/83-60505/8360505179-Lowcy-dusz-Jacek-Piekara-83-60505-17-9.html,https://www.books-by-isbn.com/spix/eu-8360505179---Piekara---517a0uuPH2L.jpg,true,true
9788375740981,978-83-7574-098-1,83-7574-098-5,Linie krwi (Victoria Nelson #3),Huff Tanya,Fabryka Slów,2009,https://www.books-by-isbn.com/83-7574/8375740985-Linie-krwi-Victoria-Nelson-3-Huff-Tanya-83-7574-098-5.html,https://www.books-by-isbn.com/spix/na-8375740985---Victoria---51sLC7D8u7L.jpg,true,true
